stage,kind,cfg_scale,n_per_class,gen_seed,clf_seed,accuracy,gap,fidelity,diversity,data_dir,result_json
e300_coarse,TRTR,,2000,0,0,0.986,,0.9967,0.0538230761885643,real_n2000_seed0,/home/ailab/2026_summer_intern/dm/smalldiffusion/src/experiments/results/clf/real_n2000_seed0_seed0.json
e300_coarse,TSTR,0,2000,1,0,0.9825,0.0034999999999999476,0.9741,0.05310245510190725,gen_cfg0_n2000_seed1,/home/ailab/2026_summer_intern/dm/smalldiffusion/src/experiments/results/clf/gen_cfg0_n2000_seed1_seed0.json
e300_coarse,TSTR,1,2000,1,0,0.9601,0.025900000000000034,0.99985,0.04900562968105078,gen_cfg1_n2000_seed1,/home/ailab/2026_summer_intern/dm/smalldiffusion/src/experiments/results/clf/gen_cfg1_n2000_seed1_seed0.json
e300_coarse,TSTR,2,2000,1,0,0.9402,0.04579999999999995,1.0,0.04627250451594591,gen_cfg2_n2000_seed1,/home/ailab/2026_summer_intern/dm/smalldiffusion/src/experiments/results/clf/gen_cfg2_n2000_seed1_seed0.json
e300_coarse,TSTR,3,2000,1,0,0.9192,0.06679999999999997,1.0,0.04418434351682663,gen_cfg3_n2000_seed1,/home/ailab/2026_summer_intern/dm/smalldiffusion/src/experiments/results/clf/gen_cfg3_n2000_seed1_seed0.json
e300_coarse,TSTR,4,2000,1,0,0.9013,0.0847,1.0,0.04255758412182331,gen_cfg4_n2000_seed1,/home/ailab/2026_summer_intern/dm/smalldiffusion/src/experiments/results/clf/gen_cfg4_n2000_seed1_seed0.json
e300_coarse,TSTR,6,2000,1,0,0.875,0.11099999999999999,1.0,0.040149678103625776,gen_cfg6_n2000_seed1,/home/ailab/2026_summer_intern/dm/smalldiffusion/src/experiments/results/clf/gen_cfg6_n2000_seed1_seed0.json
e300_coarse,TSTR,8,2000,1,0,0.8498,0.1362,1.0,0.03846992142498493,gen_cfg8_n2000_seed1,/home/ailab/2026_summer_intern/dm/smalldiffusion/src/experiments/results/clf/gen_cfg8_n2000_seed1_seed0.json
