stage,kind,cfg_scale,n_per_class,gen_seed,clf_seed,accuracy,gap,fidelity,diversity,data_dir,result_json
e900_coarse,TRTR,,2000,0,0,0.986,,0.9967,0.0538230761885643,real_n2000_seed0,/home/ailab/2026_summer_intern/dm/smalldiffusion/src/experiments/results/clf/real_n2000_seed0_seed0.json
e900_coarse,TSTR,-0.9,2000,2,0,0.7476,0.23839999999999995,0.14475,0.06515196561813355,gen_cfg-0.9_n2000_seed2,/home/ailab/2026_summer_intern/dm/smalldiffusion/src/experiments/results/clf/gen_cfg-0.9_n2000_seed2_seed0.json
e900_coarse,TSTR,-0.75,2000,2,0,0.9299,0.05610000000000004,0.2517,0.06325359009206295,gen_cfg-0.75_n2000_seed2,/home/ailab/2026_summer_intern/dm/smalldiffusion/src/experiments/results/clf/gen_cfg-0.75_n2000_seed2_seed0.json
e900_coarse,TSTR,-0.5,2000,2,0,0.9807,0.005299999999999971,0.59385,0.0587363313883543,gen_cfg-0.5_n2000_seed2,/home/ailab/2026_summer_intern/dm/smalldiffusion/src/experiments/results/clf/gen_cfg-0.5_n2000_seed2_seed0.json
e900_coarse,TSTR,-0.25,2000,2,0,0.9865,-0.000500000000000056,0.90255,0.05487455204129219,gen_cfg-0.25_n2000_seed2,/home/ailab/2026_summer_intern/dm/smalldiffusion/src/experiments/results/clf/gen_cfg-0.25_n2000_seed2_seed0.json
e900_coarse,TSTR,0,2000,2,0,0.9835,0.0024999999999999467,0.9821,0.05300742965191603,gen_cfg0_n2000_seed2,/home/ailab/2026_summer_intern/dm/smalldiffusion/src/experiments/results/clf/gen_cfg0_n2000_seed2_seed0.json
e900_coarse,TSTR,1,2000,2,0,0.9601,0.025900000000000034,0.99995,0.04949546810239554,gen_cfg1_n2000_seed2,/home/ailab/2026_summer_intern/dm/smalldiffusion/src/experiments/results/clf/gen_cfg1_n2000_seed2_seed0.json
e900_coarse,TSTR,2,2000,2,0,0.9384,0.047599999999999976,1.0,0.04720796793699265,gen_cfg2_n2000_seed2,/home/ailab/2026_summer_intern/dm/smalldiffusion/src/experiments/results/clf/gen_cfg2_n2000_seed2_seed0.json
